,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
ADK,-0.082088557752131,-0.320507511263047,0.0024892701772908,-0.251877720289029,0.0638094540644111,-0.0275483367925375,-0.00367819640283604,0.00080114789656771,-0.0241997023153464,2.71084065566032e-05
ADNP,0.00598000874757662,0.294488833150208,-0.0113456493423846,-0.180171869699934,0.0374912804075162,-0.0983243405703045,0.00474182567119758,-0.0445333197958082,0.0031552246616342,8.74044724941225e-06
ADO,-0.0170855673514141,0.19732551193964,-0.00481914241496017,0.053830903716999,0.0174157411362619,-0.0453736029095814,-0.00306259867027553,-0.0183573085602477,-0.142064046553655,0.00108487640324345
ADPGK,0.132212991369735,0.0175899267916949,0.145081142590974,-0.0130079849649892,0.0110445601505182,0.0380394538846117,0.00165098411053787,0.0109342457747197,0.00425173590402127,-0.00208388230867474
ADPRH,0.0751634813679851,-0.157190318344669,0.0996569336818638,-0.133155361381466,0.051425988053186,-0.0315624948541379,0.00270679902514287,0.0219943444824799,-0.146988881377674,0.00116075326943593
ADPRHL2,-0.0194210124031945,-0.0142375136672612,0.052041007162928,-0.178418693404858,-0.00657634885166678,-0.0694581614630201,0.00191594903490026,0.00186794498274251,0.0230830071772173,-0.000455424499781454
ADRBK1,0.0783883381314579,-0.0827070344752839,0.116863112007165,-0.0651698433391231,0.0311862359502533,0.0372732565720197,-0.00076863636198205,0.0080745594163671,0.0639243736266799,-0.000670638748132124
ADRM1,-0.125018188413915,0.422653470201286,0.0119531670784924,0.184922655649137,0.0461822445202716,-0.012629068790258,0.00106718988431487,-0.0330770800370237,-0.544159955462454,0.000979696374027815
ADSL,0.18105177411558,0.0204925363128969,0.0238311521284503,-0.252970297808566,-0.00977383117414556,0.0675986175721756,0.00502176709686651,-0.0446104490757436,0.154299274962965,-0.00121734072552153
ADSS,0.103355894268496,-0.0379682638696007,-0.000337359913263162,-0.34017939754528,0.0188246874214775,0.134328604998077,-0.00694617799133302,-0.00786329659783626,0.0255103986454463,0.000109994824753164
ADSSL1,-0.0815561980357569,-0.392048327972899,-0.126270425460719,0.119848969906586,-0.0251891072980266,0.105445130498263,-0.000245665567340034,-0.0221118541226384,0.0197950858445745,-0.000360194887318283
AEBP1,-0.0620379623303188,-0.228689404918713,-0.183901533345302,0.432651283066673,0.34539796231361,0.0200053002102342,-0.000301318310149569,-0.0115536686963986,0.192115997830864,0.000234433583891162
AES,-0.205463787494257,0.00476851374154532,-0.00499822530658791,-0.130937040106819,0.038812548285376,-0.0722265567042611,0.000147854475089587,-0.0231741464206738,-0.0637511619227922,0.000220952402517447
AFAP1,0.16013198741343,0.0623672146674334,-0.0047122254592802,0.228288911317261,0.246497092788973,0.0731214107872852,0.000446346041706901,-0.0215777247105211,-0.011462554299553,0.00188999361157126
AFAP1L2,-0.0332770849182784,-0.0970872584847659,-0.0117350467629656,-0.048488181344436,0.112326420560049,-0.134696336358737,0.000266661301699016,-0.00556148664057652,-0.00703513425147156,-0.000102545874034414
AFF4,0.0137574977403161,0.232983047860552,-0.000372576107643597,0.0473582862672325,0.00724047378535763,0.00795240722617027,0.00314711160696093,0.00034102116602365,0.0596961952064391,-0.000853059465220789
